1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,EnclosedPorch,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,SalePrice,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemod/Add,YrSold,TotalSF,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_No,Electrical_SBrkr,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_PreCast,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_PreCast,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,MSZoning_A (agr),MSZoning_C (all),MSZoning_FV,MSZoning_I (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_No,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_Oth,SaleType_VWD,SaleType_WD ,Utilities_AllPub,Utilities_NoSewr
-0.739242505,-0.795752209,-0.108531458,0.042811556,0.216394136,0.307670608,0.609567389,0.507497392,-0.306636269,-1.349598145,0.373963004,1.068108416,-0.24046357,0.979638946,-0.748181456,0.270813422,-0.380088387,-2.213780772,-0.994564195,-2.217317345,-0.122178413,-0.933693328,-0.960427317,0.261896574,-0.630430545,-1.007144668,0.283756032,0.883617052,0.323239552,0.222051754,-1.279403758,-0.757400462,-0.931002659,-0.213532981,0.843523457,-0.236504709,-0.390693088,-1.639427462,-1.359898279,-0.089543867,-0.57909376,-0.056457754,-0.114438646,0.871785714,-0.712622612,2.170751522,-0.75658483,0.308225449,-0.054980085,0.031896845,136500,-0.299431356,0.07066669,-0.230487784,-0.391297057,-0.736228297,0.287575397,1.067095917,0.834375955,-1.039202749,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.671121681,-0.795752209,-0.108531458,0.042811556,0.216394136,0.307670608,-0.30820823,1.546078903,-0.306636269,0.882151975,0.373963004,1.068108416,-0.24046357,-1.355808682,-1.275324475,0.270813422,2.995459428,0.388382592,0.624119232,0.467506669,-0.122178413,-0.933693328,-0.960427317,-3.813552054,-1.341853511,-1.007144668,0.283756032,0.038874948,0.323239552,0.153678608,-0.201540725,-0.757400462,1.368616812,-0.213532981,0.843523457,-0.236504709,0.226679932,0.446644832,0.756278914,-0.089543867,-0.57909376,-0.557904065,4.125592301,0.511787915,-0.0444515,-0.596612469,-0.75658483,0.308225449,-0.054980085,0.031896845,120000,-0.299431356,0.07066669,-0.230487784,0.146567196,-0.736228297,-0.694210673,-1.603361437,0.834375955,-0.046154142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.042455437,1.263756744,-0.108531458,0.042811556,0.216394136,0.307670608,-0.30820823,-0.225760388,-0.306636269,-0.456898097,0.373963004,-0.857360567,-0.24046357,-0.771946775,0.591438876,0.270813422,-0.380088387,0.388382592,-0.994564195,0.467506669,-0.976364881,0.592098208,0.904750371,0.261896574,1.150649646,0.381782112,0.283756032,0.038874948,0.323239552,0.287983002,1.088045404,1.252335418,-0.931002659,-0.213532981,-0.837251907,-0.236504709,-0.044254483,0.595649996,0.756278914,-0.089543867,0.761895247,-0.557904065,-0.114438646,-0.928203279,0.069626495,-0.596612469,0.767962046,0.308225449,-0.054980085,0.031896845,253000,-0.299431356,0.07066669,1.112354088,0.234535649,-0.736228297,1.23429768,1.067095917,0.834375955,0.83624838,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1.242944,0.932507052,-0.108531458,3.86731056,0.216394136,0.307670608,0.609567389,0.396907694,-0.306636269,-0.456898097,0.373963004,1.068108416,-0.24046357,-0.771946775,-1.101222194,0.270813422,-0.380088387,0.388382592,-0.994564195,0.467506669,-0.122178413,-0.933693328,0.904750371,0.261896574,0.005309127,0.381782112,0.283756032,0.883617052,0.323239552,0.273331613,-0.124550508,1.252335418,-0.931002659,-0.213532981,-0.837251907,-0.236504709,-1.017520321,-0.924202675,0.756278914,-0.089543867,-1.383687164,0.645567081,-0.114438646,0.511787915,-0.712622612,-0.596612469,0.767962046,0.308225449,-0.054980085,0.031896845,170000,-0.299431356,0.07066669,-0.90190872,-0.873866854,-0.58174256,1.02391495,0.824327066,0.074649717,-0.557892282,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.876361245,1.304562865,-0.108531458,0.042811556,0.216394136,0.307670608,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,0.979638946,0.695416627,0.270813422,4.899204405,0.388382592,0.624119232,0.467506669,-0.976364881,0.592098208,-0.960427317,0.261896574,-1.190486922,-1.007144668,0.283756032,0.883617052,0.323239552,0.070654073,0.487093991,-0.757400462,-0.931002659,-0.213532981,0.843523457,-0.236504709,-0.151100034,0.297639668,-1.359898279,-0.089543867,1.29829085,-0.557904065,-0.114438646,0.871785714,-0.712622612,0.325842195,0.767962046,0.308225449,-0.054980085,0.031896845,144000,-0.299431356,0.07066669,0.440933152,-0.51445289,-0.736228297,-1.886379473,-1.603361437,-1.444802758,0.035447345,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-0.90154632,1.042923616,-0.108531458,0.042811556,0.216394136,0.307670608,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,-0.771946775,0.673653842,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,1.586194524,0.592098208,0.904750371,0.261896574,-0.443745086,0.381782112,0.283756032,-1.650609261,0.323239552,0.263564021,0.23473717,1.252335418,0.218807077,-0.213532981,0.843523457,-0.236504709,0.044977741,-1.639427462,-1.359898279,-0.089543867,0.761895247,-0.557904065,-0.114438646,0.151790117,-0.060748356,-0.596612469,0.005688608,0.308225449,-0.054980085,0.031896845,168000,-0.299431356,0.07066669,0.440933152,-0.53707335,-0.736228297,0.883659797,0.630111986,-0.68507652,-0.140203314,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.06484217,2.312714101,-0.108531458,0.042811556,1.441611642,0.307670608,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,-0.771946775,1.341045921,0.270813422,-0.380088387,0.388382592,-0.994564195,0.467506669,-0.976364881,0.592098208,2.76992806,0.261896574,1.357517317,1.770708893,0.283756032,-1.650609261,0.323239552,0.283099206,2.005512152,1.252335418,-0.931002659,-0.213532981,-0.837251907,-0.236504709,0.420297022,1.221471684,-1.359898279,-0.089543867,0.761895247,0.47841831,-0.114438646,0.511787915,-0.060748356,-0.596612469,1.530235484,0.308225449,-0.054980085,0.031896845,290000,-0.299431356,0.07066669,2.45519596,0.156620734,0.144340405,1.164170103,1.018542146,0.834375955,1.38671265,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.596527082,0.932507052,5.041197269,0.042811556,0.216394136,0.307670608,0.609567389,-0.324329467,-0.306636269,0.882151975,0.373963004,-0.857360567,-0.24046357,-0.771946775,0.574512265,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.976364881,0.592098208,-0.960427317,0.261896574,-0.105693038,0.381782112,0.283756032,0.883617052,0.323239552,0.153678608,0.369470049,1.252335418,-0.931002659,-0.213532981,0.843523457,-0.236504709,-0.165734637,0.446644832,-1.359898279,-0.089543867,0.493697445,-0.557904065,-0.114438646,0.151790117,-0.093342069,1.248296858,0.005688608,0.308225449,-0.054980085,0.031896845,210000,-0.299431356,0.07066669,-0.230487784,0.113893199,-0.736228297,-1.640932955,-1.603361437,-0.68507652,0.305147175,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.469641083,-0.795752209,-0.108531458,0.042811556,-1.008823369,0.307670608,0.609567389,1.37057786,-0.306636269,-0.456898097,0.373963004,1.068108416,-0.24046357,-1.939670589,-0.641785618,0.270813422,-0.380088387,0.388382592,-0.994564195,0.467506669,-0.122178413,-0.933693328,0.904750371,0.261896574,0.050719103,0.381782112,0.283756032,-1.650609261,0.323239552,0.27821541,-0.355521158,-0.757400462,-0.931002659,-0.213532981,-0.837251907,-0.236504709,-0.409731023,-1.639427462,-1.359898279,-0.089543867,-0.57909376,0.199837027,-0.114438646,0.511787915,-0.305201202,-0.596612469,1.530235484,0.308225449,-0.054980085,0.031896845,220000,-0.299431356,0.07066669,-0.230487784,0.62159684,0.746834781,1.094042527,0.921434606,0.834375955,0.115665756,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.929529737,-0.795752209,-0.108531458,0.042811556,-1.008823369,-3.994367115,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,0.979638946,0.64947297,-3.687986413,1.219697307,0.388382592,0.624119232,-1.322376007,-0.122178413,-0.933693328,-0.960427317,0.261896574,-2.325736336,-2.396071448,-2.156242363,-0.805867157,-1.739336637,-4.608022636,-1.424829722,-0.757400462,-0.356097791,-0.213532981,0.843523457,-0.236504709,-0.826363917,-0.447386151,0.756278914,-0.089543867,-0.310895959,-0.557904065,-0.114438646,-2.368194473,-0.712622612,-1.519067133,-1.518858268,-3.504286258,-0.054980085,0.031896845,55000,-0.299431356,0.07066669,-0.90190872,-0.562207193,-0.736228297,-1.675996743,-1.603361437,0.074649717,-1.227301093,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
